id sex head_width head_length thorax_width thorax_length abdomen_width abdomen_length right_forcep_length left_forcep_length right_forcep_width left_forcep_width
1 male 2.704 2.859 3.707 4.577 5.238 11.372 3.198 3.407 1.889 1.432
2 male 2.628 2.976 3.507 4.691 4.148 10.454 2.914 3.037 1.173 1.074
3 male 3.005 3.531 4.353 5.472 5.684 12.433 2.813 3.112 2.776 1.963
4 male 2.644 2.943 3.534 4.918 4.588 10.996 2.391 2.592 2.233 1.711
5 male 2.502 2.734 3.429 4.926 4.097 10.208 3.162 3.332 1.196 1.132
6 male 2.701 3.098 3.781 5.159 4.473 10.155 3.181 3.156 1.695 1.842
7 male 3.029 3.545 4.351 5.562 5.815 12.69 3.508 3.951 3.106 2.106
8 male 2.642 2.98 3.519 4.484 4.56 11.091 2.476 2.728 1.582 1.453
9 male 2.996 3.462 4.203 5.902 5.519 11.81 2.529 3.088 2.876 1.903
10 male 2.651 2.399 3.595 5.072 4.642 9.951 3.035 3.174 1.396 1.348
13 male 2.55 3.109 3.84 4.916 4.883 11.057 2.824 3.272 2.521 1.746
14 male 2.695 3.12 3.7 5.073 5.008 11.099 2.806 3.219 2.591 1.708
15 male 2.504 2.867 3.683 5.004 4.723 9.905 2.611 3.004 1.912 1.58
16 male 2.611 3.24 3.613 4.93 5.143 11.348 2.921 3.265 2.564 2.116
17 male 3.09 3.368 4.262 5.82 5.518 13.06 2.915 3.108 2.489 1.921
18 male 2.64 2.961 3.626 4.904 4.691 11.222 2.721 3.05 2.289 1.95
19 male 2.82 3.107 3.778 5.552 5.001 11.472 2.374 2.065 2.55 1.906
20 male 2.461 2.846 3.195 4.441 4.185 10.265 2.444 2.657 1.753 1.461
21 male 2.909 3.233 4.128 5.095 4.918 11.357 3.155 3.364 2.038 1.614
22 male 2.997 3.487 4.547 6.227 6.1 13.177 3.175 3.519 3.298 2.738
23 male 2.429 2.824 3.183 4.292 4.063 10.025 2.051 2.262 1.194 1.162
24 male 2.551 3.007 3.456 4.583 4.35 10.797 2.811 3 1.762 1.607
25 male 2.71 3.15 3.719 5.545 4.611 12.289 3.262 3.325 1.725 1.421
26 male 3.444 3.86 5.049 6.672 6.733 13.038 3.67 3.947 3.401 2.683
27 male 2.569 2.736 3.465 4.774 4.177 10.121 3.126 3.23 1.41 1.537
28 male 2.585 2.877 3.581 5.229 4.559 11.345 2.665 2.847 1.933 1.682
29 male 2.53 3.015 3.366 4.955 3.951 9.851 2.815 2.945 1.439 1.292
30 male 2.561 2.739 3.514 5.135 4.208 10.636 2.81 2.918 1.921 1.28
31 male 2.722 3.413 3.746 5.849 4.904 10.605 3.224 3.477 1.998 1.939
32 male 2.367 3.159 3.36 4.788 4.538 10.201 2.61 2.894 1.666 1.488
33 male 2.761 3.148 3.765 5.094 4.891 11.189 2.796 3.052 2.316 2.171
34 male 2.569 2.988 3.489 5.149 4.463 10.883 2.991 3.355 1.465 1.354
35 male 3.128 3.661 4.329 6 5.578 11.47 3.019 3.263 2.562 2.323
36 male 2.898 3.158 4.13 5.728 5.392 11.221 2.879 3.266 2.403 1.956
37 male 2.674 2.984 3.576 4.841 4.612 10.751 2.636 2.921 2.077 1.78
38 male 2.798 3.034 3.743 5.169 4.694 11.29 2.823 3.096 1.933 1.643
39 male 2.163 2.444 2.926 4.224 3.352 8.595 2.617 2.665 1.022 0.982
40 male 2.409 2.623 3.21 4.931 3.835 10.804 2.906 2.992 1.208 1.101
41 male 2.328 3.133 3.488 5.15 3.983 11.02 3.133 3.218 1.169 1.193
42 male 2.473 2.663 3.328 5.055 4.208 10.809 2.877 2.564 1.409 1.095
43 male 3.009 3.141 4.429 5.824 5.926 14.291 3.08 3.54 2.864 2.033
44 male 2.951 3.445 4.22 6.195 5.403 13.002 3.064 3.473 2.869 2.283
45 male 2.547 2.905 3.52 5.264 4.241 10.387 2.688 2.935 1.709 1.665
46 male 2.526 2.959 3.534 5.048 4.385 10.151 2.88 3.175 2.106 1.426
47 male 3.052 3.351 4.29 6.014 5.596 13.511 3.186 3.499 2.583 2.295
48 male 2.939 3.405 4.229 5.862 5.606 13.124 3.242 3.679 2.683 2.14
49 male 3.125 3.772 4.453 5.989 5.975 13.174 2.86 3.492 3.072 2.17
50 male 3.018 3.407 4.477 5.733 5.855 13.328 3.607 3.845 2.876 2.341
51 male 2.486 2.688 3.527 4.764 4.342 10.655 2.685 2.917 2.121 1.8
52 male 2.501 2.915 3.475 5.128 4.489 10.939 3.037 3.137 1.693 1.409
53 male 2.466 2.777 3.575 4.836 4.551 10.683 3 3.232 2.037 1.701
54 male 2.476 2.716 3.439 4.772 4.416 10.848 2.902 3.15 2.024 1.715
55 male 2.514 2.791 3.39 5.168 4.339 10.469 2.935 3.168 1.883 1.74
56 male 2.644 2.932 3.696 5.4 4.805 11.559 2.99 3.372 2.423 1.891
57 male 2.86 3.22 4.062 5.886 5.313 11.842 2.537 2.925 2.629 2.163
58 male 2.717 3.1 3.661 4.888 4.682 11.193 3.018 3.287 1.896 1.707
59 male 2.698 3.113 3.57 5.46 4.525 11.651 2.896 2.961 2.002 1.504
60 male 2.915 3.298 4.095 5.882 5.157 12.596 3.127 3.292 2.699 2.338
61 male 2.672 2.986 3.701 6.012 4.536 11.011 2.725 3.141 1.808 1.423
62 male 2.522 2.824 3.472 4.669 4.282 11.393 2.446 2.841 2.013 1.407
63 male 2.57 2.843 3.567 5.066 4.082 11.218 2.665 2.732 1.425 1.191
64 male 2.51 2.842 3.287 4.949 4.119 10.17 2.543 2.778 1.493 1.189
65 male 2.869 3.162 3.772 5.889 5.113 12.335 3.02 3.374 2.216 1.767
66 male 2.565 3.043 3.457 5.378 4.274 11.111 3.008 3.136 1.394 1.27
67 male 2.555 2.818 3.567 4.992 4.304 10.38 2.811 3.089 1.913 1.418
68 male 2.268 2.602 2.92 4.526 3.546 9.658 2.731 2.785 1.075 0.972
69 male 2.549 2.899 3.498 5.38 4.208 10.519 2.603 2.899 2.006 1.606
70 male 2.345 2.761 3.098 4.44 3.499 9.196 2.709 2.759 1.116 1.05
71 female 2.986 2.878 4.437 5.525 4.946 12.276 3.442 3.654 1.373 1.346
72 female 3.172 3.654 4.568 6.162 5.177 12.735 4.7 4.71 1.472 1.561
73 female 3.167 3.258 4.683 6.192 5.204 13.15 3.968 4.055 1.476 1.5
74 female 3.155 3.444 4.869 6.125 5.423 13.154 4.078 4.125 1.531 1.499
75 female 3.3 3.5 5.006 6.823 5.352 15.01 4.683 4.796 1.524 1.523
76 female 3.247 3.761 4.812 5.905 5.37 12.436 4.059 4.494 1.467 1.596
77 female 2.867 3.398 4.137 6.038 4.26 13.662 3.271 3.481 1.187 1.289
78 female 3.419 4.087 5.224 7.088 5.501 14.64 4.943 5.027 1.472 1.599
79 female 3.149 3.511 4.786 5.885 5.158 14.369 4.095 4.504 1.354 1.507
80 female 3.17 2.989 4.924 6.162 5.276 13.978 4.786 4.628 1.426 1.406
81 female 3.219 3.183 5.038 6.369 5.449 14.614 4.951 5.112 1.526 1.586
82 female 2.921 3.567 4.686 6.178 5.407 12.969 4.187 4.474 1.444 1.46
83 female 2.974 3.354 4.266 5.483 4.773 12.146 3.617 3.656 1.317 1.338
84 female 3.184 3.102 4.977 6.126 5.523 14.744 4.088 4.026 1.483 1.516
85 female 3.187 3.031 4.738 5.954 5.207 13.351 3.962 4.058 1.432 1.476
86 female 3.191 3.579 4.837 6.669 5.383 13.771 4.906 5.017 1.35 1.416
87 female 3.431 3.37 5.102 6.035 5.682 13.083 4.808 4.924 1.564 1.617
88 female 3.011 3.443 4.41 6.361 4.998 11.534 3.912 4.103 1.37 1.354
89 female 3.569 3.773 4.934 6.112 5.625 13.45 3.566 3.984 1.54 1.597
90 female 3.147 3.631 4.902 6.811 5.337 13.884 4.959 5.051 1.256 1.401
91 female 3.443 3.727 4.92 6.685 5.605 13.574 4.637 4.875 1.533 1.576
