museum_number,species,collection,sex,region,body_length,mandible_length,inside_mandible_length,mandible_tooth_1,mandible_tooth_2,mandible_tooth_3,mandible_tooth_4,head_length,head_width,pronotum_length,pronotum_width,elytra_length,elytra_width,method
,G. helmsi,Barratt Collection,Male,Stewart Island,23.91,5.25,4.70,2.50,3.67,1.71,0.96,4.88,10.83,6.60,12.41,12.43,10.43,Callipers
,G. helmsi,Barratt Collection,Male,Stewart Island,20.88,4.79,4.03,2.28,3.65,1.52,0.70,4.38,9.82,5.57,10.64,10.93,9.73,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,21.28,2.50,1.80,,,,,3.20,7.22,6.12,10.77,11.96,10.22,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,20.13,2.85,1.76,,,,,3.12,6.86,6.22,10.06,10.79,9.75,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,16.77,2.04,1.53,,,,,2.31,5.68,5.23,8.28,9.23,7.81,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,24.37,3.09,2.16,,,,,3.80,8.04,6.78,11.68,13.79,11.30,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,23.18,2.88,2.23,,,,,3.45,7.83,6.92,11.93,12.81,10.61,Callipers
,G. helmsi,Barratt Collection,Female,Stewart Island,21.64,2.51,1.87,,,,,3.15,7.19,6.12,10.54,12.37,10.43,Callipers
,G. helmsi,Barratt Collection,Male,Stewart Island,20.48,4.28,3.74,2.26,3.45,1.45,0.59,3.89,9.50,6.04,11.13,10.55,10.11,Callipers
,G. helmsi,Barratt Collection,Male,Stewart Island,22.15,4.58,3.82,2.30,3.76,1.39,0.79,5.04,9.97,5.85,11.16,11.26,10.20,Callipers
OMNZIV43998,G. helmsi,Otago Museum,Female,Stewart Island,16.79,2.19,1.41,,,,,1.97,5.63,4.78,8.08,10.04,8.31,Callipers
OMNZIV44001,G. helmsi,Otago Museum,Male,Stewart Island,19.59,3.83,3.11,2.09,3.54,0.62,0.49,3.91,8.60,5.65,10.27,10.03,8.96,Callipers
OMNZIV44006,G. helmsi,Otago Museum,Male,Stewart Island,27.59,6.81,6.18,3.12,4.97,1.32,1.06,6.70,13.41,7.61,14.68,13.28,11.27,Callipers
OMNZIV44014,G. helmsi,Otago Museum,Female,Stewart Island,19.90,2.30,1.62,,,,,2.75,6.38,5.61,9.42,11.54,9.57,Callipers
OMNZIV44020,G. helmsi,Otago Museum,Female,Stewart Island,20.37,2.16,1.63,,,,,3.11,6.63,6.01,9.62,11.25,9.38,Callipers
OMNZIV15634,G. helmsi,Otago Museum,Male,Stewart Island,24.67,6.16,5.40,3.00,4.60,1.35,1.23,5.89,11.67,6.52,13.09,12.26,10.98,Callipers
OMNZIV15636,G. helmsi,Otago Museum,Female,Stewart Island,21.68,2.60,1.62,,,,,2.84,7.17,6.38,10.98,12.46,10.87,Callipers
OMNZIV15642,G. helmsi,Otago Museum,Male,Stewart Island,23.15,5.11,4.96,2.61,4.21,1.03,0.98,4.35,11.18,6.96,12.55,11.84,10.40,Callipers
OMNZIV15644,G. helmsi,Otago Museum,Female,Stewart Island,18.96,2.32,1.68,,,,,3.17,6.47,5.62,9.13,10.17,8.85,Callipers
605542,G. helmsi,BMNH,Male,Stewart Island,27.69,8.87,7.73,3.80,5.03,2.34,1.61,6.24,16.70,8.47,18.02,12.98,13.44,Digital
605542,G. helmsi,BMNH,Male,Stewart Island,26.54,8.82,7.70,2.77,4.81,2.30,1.66,5.83,16.57,8.60,17.85,12.12,12.69,Digital
1,G. helmsi,Fieldwork,Male,Stewart Island,23.11,3.92,3.16,2.98,3.84,1.3,0.84,4.94,9.79,6.58,11.11,11.59,9.91,Callipers
2,G. helmsi,Fieldwork,Male,Stewart Island,22.24,4.23,3.02,2.03,2.62,1.72,0.45,4.92,9.33,6.43,10.67,10.89,9.64,Callipers
6,G. helmsi,Fieldwork,Male,Stewart Island,27.13,5.48,4.31,2.67,4.05,1.26,0.75,6.51,12.74,7.55,13.11,13.07,10.73,Callipers
7,G. helmsi,Fieldwork,Female,Stewart Island,24.10,3.27,2.15,,,,,4.56,7.84,6.71,11.43,12.83,10.96,Callipers
8,G. helmsi,Fieldwork,Female,Stewart Island,24.01,3.46,2.52,,,,,3.63,8.29,7.39,11.97,12.99,10.92,Callipers
9,G. helmsi,Fieldwork,Female,Stewart Island,22.74,2.82,1.58,,,,,3.4,7.44,7.45,10.32,11.89,10.27,Callipers
10,G. helmsi,Fieldwork,Female,Stewart Island,20.59,3.39,2.03,,,,,3.72,7.82,6.82,10.73,10.05,10.18,Callipers
11,G. helmsi,Fieldwork,Female,Stewart Island,23.18,2.79,1.7,,,,,3.06,8.06,7.47,11.12,12.65,10.08,Callipers
12,G. helmsi,Fieldwork,Female,Stewart Island,19.74,2.88,1.8,,,,,2.99,6.51,5.9,9.77,10.85,9.25,Callipers
13,G. helmsi,Fieldwork,Female,Stewart Island,22.65,2.86,2.19,,,,,3.66,8.21,6.88,10.78,12.11,10.39,Callipers
14,G. helmsi,Fieldwork,Female,Stewart Island,21.46,3.05,2.12,,,,,2.62,8.22,6.77,10.97,12.07,10.39,Callipers
15,G. helmsi,Fieldwork,Larva,Stewart Island,,,,,,,,,,,,,,
